Height,Weight,Age,Gender,Activity_Level,Body_Fat,Goal,BMI,Plan
188,89,37,0,1.725,18.13,Aesthetics,25.18,Lean
178,61,38,0,1.375,38.82,Health,19.25,Cut
164,110,45,1,1.55,33.92,Health,40.9,Cut
192,50,33,1,1.2,8.45,Aesthetics,13.56,Bulk
157,62,47,0,1.2,37,Health,25.15,Cut
170,66,22,0,1.55,15.25,Strength,22.84,Lean
188,77,48,1,1.375,30.59,Health,21.79,Cut
168,74,20,0,1.725,25.7,Aesthetics,26.22,Cut
172,76,43,0,1.725,25.18,Health,25.69,Cut
160,86,23,1,1.375,30.97,Aesthetics,33.59,Cut
160,54,30,0,1.375,14.63,Health,21.09,Bulk
173,80,19,0,1.55,13.09,Aesthetics,26.73,Lean
185,78,49,0,1.55,28.86,Health,22.79,Cut
189,117,20,1,1.725,17.3,Strength,32.75,Lean
173,72,48,0,1.375,39.17,Aesthetics,24.06,Cut
152,55,20,1,1.375,22.45,Aesthetics,23.81,Cut
171,83,53,0,1.725,11.57,Health,28.38,Lean
151,91,49,0,1.725,29.95,Health,39.91,Cut
173,63,41,1,1.725,17.8,Health,21.05,Lean
193,59,16,1,1.725,12.75,Strength,15.84,Bulk
179,72,19,1,1.725,21.53,Health,22.47,Recomp
187,68,54,1,1.55,38.86,Aesthetics,19.45,Cut
151,116,41,0,1.725,21.17,Health,50.87,Recomp
170,53,48,1,1.375,19.11,Strength,18.34,Lean
182,91,48,1,1.2,22.22,Health,27.47,Cut
161,77,23,1,1.55,8.39,Health,29.71,Lean
171,106,35,0,1.375,12.26,Aesthetics,36.25,Lean
193,63,31,0,1.2,35.19,Health,16.91,Cut
174,111,36,1,1.55,39.3,Strength,36.66,Cut
198,118,41,1,1.725,13.05,Health,30.1,Lean
176,84,38,1,1.55,25.14,Health,27.12,Cut
191,91,33,1,1.725,38.92,Aesthetics,24.94,Cut
177,109,46,0,1.725,13.01,Health,34.79,Lean
165,73,57,1,1.725,13.96,Aesthetics,26.81,Lean
164,94,27,0,1.2,37.66,Aesthetics,34.95,Cut
196,57,16,1,1.55,30.58,Health,14.84,Cut
193,45,57,1,1.725,12.86,Aesthetics,12.08,Bulk
152,78,24,0,1.375,20.59,Aesthetics,33.76,Lean
186,92,18,1,1.55,9.8,Health,26.59,Lean
156,92,41,1,1.375,21.85,Health,37.8,Recomp
170,93,24,1,1.2,32.89,Strength,32.18,Cut
158,108,57,1,1.2,25.73,Strength,43.26,Cut
188,105,31,0,1.55,28.72,Aesthetics,29.71,Cut
167,73,39,1,1.2,18.46,Aesthetics,26.18,Lean
153,83,29,1,1.2,13.16,Health,35.46,Lean
174,70,18,0,1.55,8.42,Strength,23.12,Lean
163,61,49,1,1.375,34.28,Strength,22.96,Cut
199,115,48,0,1.725,28.37,Health,29.04,Cut
158,57,39,1,1.55,15.34,Health,22.83,Lean
175,113,24,1,1.55,21.39,Health,36.9,Recomp
151,70,28,1,1.725,33.65,Health,30.7,Cut
169,93,17,0,1.375,25.24,Strength,32.56,Cut
177,111,22,0,1.725,17.61,Health,35.43,Lean
196,51,36,1,1.725,16.55,Health,13.28,Lean
156,102,34,0,1.375,14.96,Strength,41.91,Lean
193,93,40,1,1.375,34.36,Health,24.97,Cut
